nom,leonoreid,bnfids
Albert Pitres,LH/2174/24,12336966f
Alexandre-Bernard Vallon,LH/2670/1,106247057
Alexandre Blanchet,LH/252/36,11892276t
Alexandre Colin,LH/563/61,12225764k | 144387288
Alexandre Giros,LH/1152/18,10189744q
Alexandre Le Grand,LH/1560/18,16999447b
Alexandre Maurice Blanc de Lanautte,LH/250/65,12120823w
Alexandre Moreau de Jonnès,LH/1931/4,119167609
Alexandre Paul Emile Guiraudet,LH/1247/47,107425660
Edmond Théry,LH/2585/22,12056570g
Camille Ournac,LH/2028/6,10728020b
Casimir Fournier,LH/1015/39,13360374q
Charles Costa de Beauregard,LH/598/29,12351600w
Charles-Albert Costa de Beauregard,LH/598/29,12351600w
Charles-André Dupin,LH/852/44,10523880v
Charles-Joseph Bresson,LH/358/62,16300556h
Charles-Louis-Fleury Panckoucke,LH/2042/10,125557892
Charles-Louis Pinson de Ménerville,LH/2168/29,10408162m
Charles-Marie-Étienne Champion Dubois de Nansouty,LH/476/34,15343458b
Charles-Marie-Étienne Champion Dubois de Nansouty,LH/476/37,15343458b
"Charles, Marie d'Argent de Deux-Fontaines",LH/48/38,10734069x
Charles Bauchal,LH/137/53,102318446
Charles Cabaud,19800035/231/30551,159742638
Charles Chalamon,19800035/317/42743,11100046s
Charles Cournault,LH/611/60,12873234v
Charles Dugast-Matifeux,LH/836/73,12981510k
Charles Houyvet,LH/1313/37,13210828q
Charles Jacques Nicolas Duchâtel,LH/821/62,10686497m
Charles Ogé Barbaroux,LH/105/39,12463226b
Charles Pierre Martial Ardant du Picq,19800035/438/58610,113337274
Charles Rivail,19800035/564/64250,10944734r
Charles Sainte-Claire Deville,LH/2443/13,13009555d
Charles Saumagne,19800035/1150/31515,126377163
Charles Schefer,LH/2476/33,11923928v
Charles Sénard,LH/2499/70,149325629
Charles Théodore Colet,LH/563/39,10658958z
Charles Vaillant,LH/2658/38,105601832
Charles Valton,LH/2668/28,14939168z
Charles de Chambrun,19800035/38/4769,124599971
Charles de Grandmaison,LH/1670/25,12111243w
Christophe,19800035/133/16866,118968397
Christophe Michel Roguet,LH/2368/58,13478758w
Claude Bonnefond,LH/285/18,14970116c
Claude François de Méneval,LH/1825/5,12129178d
Claude Testot-Ferry,LH/2580/52,14572016w
Claudius Gallet,LH/1060/72,134189884
Clément Colson,LH/574/27,12735550d
Clémentine Ballot,19800035/579/65719,14968827p
Cyrille Grimpret,19800035/872/2407,165961651
César Lecat de Bazancourt,LH/1526/33,14585971f
Damase Jouaust,LH/1377/45,125210646
Daniel-Joseph Bacqué,19800035/1277/47139,16516349p
Daniel Dupuis,LH/861/41,14973254x
David Galula,19800035/878/3055,15667450g
René Simon,19800035/1089/25185,14700264q
Denis Auguste Duchêne,19800035/12/1651,16600299g
Denis Le Maréchal,LH/1577/39,16769623x
Denys Puech,19800035/258/34354,12144864v
Donatien de Sesmaisons,LH/2510/13,107423355
Dranem,LH/1822/24,12430105r
محمد راسم,19800035/1441/66842,119209640
Désiré Nolen,LH/2001/20,12517698d
Edmond Ceria,19800035/160/20501,14484365f
Edmond Filhol de Camas,19800035/763/86753,165309944
Edmond Turquet,LH/2639/79,14840835s
Eugène Guillet de la Brosse,19800035/108/13615,178140836
Eugène Le Moignic,19800035/1277/47244,13436311t
Félix Gaffiot,19800035/1483/72261,11903830q
Félix Leprince-Ringuet,19800035/177/22814,112572854
Félix Liouville,19800035/231/30699,16765544n
Gaston de Pawlowski,19800035/1214/40059,13484444m | 13736630f
Alexandre Desgrez,LH/748/71,12567961x
Alexandre Defaux,LH/686/42,14972603w
Alexis-Joseph Rostand,LH/2386/11,15563333g
Alexis Vautrin,LH/2681/21,15608314b
Alfred Daviel,LH/674/55,10305345p
Alfred Hérault,LH/1289/82,117795057 | 132108606
Alfred Koechlin-Schwartz,LH/1405/20,15343462k
Alfred Mascuraud,LH/1774/57,13757718h
Alfred Merlin,19800035/652/75188,12085169j
Alfred Mongy,LH/1906/55,15372377q
Alfred Vallette,19800035/240/31835,12418821f
Alphonse Dain,19800035/586/66408,118984535
Alphonse Seyewetz,19800035/1395/61281,13077618f
Amable de Courtais,LH/613/60,10717097g
Ambroise Mottet,LH/1946/63,10204060b
Amédée Bienaimé,LH/235/30,10599084x
Amédée Pichot,LH/2148/47,12127349w
Amédée de Béhague,LH/164/71,10564845d
André Alexandre Verdilhan,19800035/840/96012,161633259
André Arbus,19800035/962/11684,125180353
André Dauchez,LH/666/35,14965153k
André Gougenheim,19800035/1334/54630,113430549
André Granet,19800035/1264/45767,12357316w
André Join-Lambert,19800035/875/2731,13072763b
André Lalande,19800035/412/55167,121226872
André Papillon,19800035/1315/52183,15556653f | 15781357r
André Rivoire,LH/2342/35,13516841w
Andrée Butillard,19800035/60/7364,10887973k
Anselme Pétetin,LH/2120/48,155570295
Antoine Banès,LH/101/88,10187130w
Antoine Breguet,LH/355/96,10388166g
Jean Menier,LH/1826/3,16684494x
Antoine François Péré,LH/2096/31,12520216n
Antoine Sabarthès,19800035/209/27447,127288099
Armand Husson,LH/1330/6,12170904x
Armand Laity,LH/1447/33,13484720f
Armand Millet,LH/1878/15,12462068g
Armand Rousseau,LH/2401/61,15028013j
Arsène Alexandre,19800035/214/28132,12956187n
Arthur Beugnot,LH/227/69,12328767h
"Auguste-Arthur, Comte de Beugnot",LH/227/69,12328767h
Arthur Charles Esprit de La Bourdonnaye,LH/1418/12,13188311t
Arthur Joseph Poline,LH/2192/32,13535023x
Auguste-François Chomel,LH/531/48,131664685
Auguste Benoist de La Grandière,LH/180/24,131922072
Auguste Benoist de La Grandière,LH/180/26,131922072
Auguste Bussière,LH/397/70,145083517
Auguste Daum,LH/667/54,13072620s
Auguste Lepère,LH/1595/49,12152462s
Auguste Mayer,LH/1807/64,149622832
Auguste Pellechet,LH/2084/28,13364978q
Auguste Pierre Walbourg Gemeau,LH/1107/59,16976027g
Auguste Romieu,LH/2378/15,12181021g
Auguste Trécul,LH/2624/83,10671958p
Auguste Vitu,LH/2733/65,11928575g
Auguste Véran,LH/2686/12,14536138m
Auguste de La Force,19800035/364/48973,11994549d
Auguste du Marhallac'h,LH/1738/62,105463244
Augustin-Charles Renouard,LH/2301/5,12569125b | 15029181j
Augustin Darricau,LH/663/59,16728835d
Augustin Gabriel d'Aboville,LH/4/7,10691028p
Augustin Théodore de Lauzanne de Vauroussel,LH/1504/23,10724165m
Augustin de Gasparin,LH/1083/5,10525315h
Léon Marie Dufour,19800035/301/40532,107474856
Barthélemy Dominique Jacques de Castelbajac,LH/445/51,155455035
Barthélemy Robaglia,19800035/1283/48065,15545730m
Charles Mast,19800035/1455/68261,11553341b
Paul François Grossetti,LH/1210/13,16278125b
Bernard Leandri,LH/1510/4,17051130m
Bernard Lecache,19800035/920/7392,12143149s
Bernard Serrigny,19800035/117/14774,12375376p
Bernardin Raugel,19800035/705/80434,12338132d
Bertrand Nogaro,LH/1998/45,130092996
Louis Marchegay,19800035/1484/72471,13322528r
Gustave Guillaumet,LH/1235/50,124915207
Camille Ferdinand Dreyfus,LH/956/34,11900601v
Camille Bloch,19800035/454/60711,12347761m
Emmanuel Halgan,LH/1259/29,10602710x
Ernest Charles Jean-Baptiste Dumas,LH/842/36,10696616j
Ernest Duvergier de Hauranne,LH/885/57,12748344v
Ernest Feray,LH/956/18,10269681d
Ernest Flammarion,LH/980/19,11145000h
Ernest Outrey,19800035/568/64627,12408744m
Ernest Quost,LH/2251/83,14925636j
Ernest Victor Hareux,LH/1267/85,125495689
Ernest Zyromski,19800035/339/45659,129768619
Ernest de Blosseville,LH/2201/30,125733218
Ernest de Blosseville,LH/261/21,125733218
Ernest Poret Blosseville,LH/2201/30,125733218
Ernest Poret Blosseville,LH/261/21,125733218
Eugène Lerminier,LH/1603/51,12459761g
Eugène Loudun,LH/99/37,12265199d
Eugène Loudun,LH/99/38,12265199d
Eugène Mordant,19800035/289/38757,132217177
Eugène Penancier,19800035/96/12081,10644410d
Eugène Pierre,LH/2153/41,12662704h
Eugène Richard,19800035/754/85475,17147236c
Eugène Thomas,19800035/969/12413,10745659q
Fernand Maillet,19800035/400/53617,124075486
Firmin Laferrière,LH/1432/31,123273346
Francis Tattegrain,LH/2571/48,10514710f
François-Charles Oberthür,LH/2009/32,149755756
François-Jean-Hyacinthe Feutrier,LH/967/45,10739597r
François Antoine Louis Bourcier,LH/322/69,123171720
François Boussus,LH/301/83,12531958z
François Cavé,LH/455/28,10303173w
François Goiran,LH/1164/53,10711652q
François Guermonprez,LH/1222/38,12375348f
François Léon Jouinot-Gambetta,LH/1380/19,10714780z
François Piétri,19800035/703/80274,12467016f
François Porché,LH/2200/49,11920320q
François Veuillot,LH/2694/49,130919334
François Victor Mérat de Vaumartoise,LH/1830/5,12347383t
Frédéric-Séraphin de La Tour du Pin Gouvernet,LH/2617/41,10733231j
Frédéric Labadie-Lagrave,LH/1411/36,134800823
Frédéric Paul Moreau,LH/1928/16,17039915f
Félix Bouffandeau,LH/311/7,10344148r
Félix Granet,LH/1189/62,16934930j
Félix Thiollier,LH/2593/55,12526455j
Félix de Vuillefroy-Cassini,LH/2740/14,149415043
G. Lenotre,19800035/246/32789,11912451j
Gabriel-Joseph de Jerphanion,LH/1365/26,119088109
Gabriel Bounoure,19800035/990/14581,118933541
Gaspard-Léonard Scrive,LH/2490/15,16549703t
Gaspard Dénarié,LH/729/86,10391814p
Gaston Casimir Saint-Pierre,LH/2439/68,149300764
Gaston Menier,LH/1825/60,16227043q
Geoffroy Guichard,LH/1228/8,13511195p
Georges-Ernest-Maurice de Riquet de Caraman,19800035/158/20166,106914759
Georges-Ernest-Maurice de Riquet de Caraman,LH/2337/27,106914759
Georges-Prudent-Marie Bruley des Varannes,19800035/762/86573,10658600t
Georges Ancey,19800035/215/28145,12174867h
Georges Brissaud-Desmaillet,19800035/7/854,11298623r
Georges Cain,LH/408/9,123661614
Georges Eugène Blanchard,LH/251/35,16753574w
Georges Pagès,19800035/1177/36227,12111407k
Henri Deneux,19800035/1004/16049,121238646
Hyacinthe Dubreuil,19800035/1071/23261,12320986d
Hélène Seguin,19800035/1119/28150,14829974q
Georges Antoine Chabot,LH/466/25,12523544f
Georges-Antoine Chabot de l'Allier,LH/466/25,12523544f
Georges Cloué,LH/555/80,106963935
Georges Dentu,LH/734/25,13409223n
Georges Eugène Charles Beauvisage,19800035/203/26628,12460006f
Georges Faugère,19800035/1314/51975,11059589g
Georges Grosjean,19800035/546/62466,127564158
Georges Hirsch,19800035/1221/40975,14807837b
Georges Maroniez,19800035/555/63365,13548297z
Georges Normandy,19800035/810/92095,12030242j
Georges Revers,19800035/1230/41830,113317656
Georges Robert,19800035/659/75842,105109790
Georges Saint-Paul,19800035/1394/61068,12384685f
Georges Thomann,19800035/1249/44230,135418461
Georges Truffaut,LH/2654/77,119271785
Georg Wodli,19800035/626/72436,16684168j
Germain Garnier,LH/1077/8,11904177p
Guillaume André René Baston,LH/2780/78,118905227
Guillaume Dubufe,LH/818/27,130269169
Guillaume Louis Julien Carré,LH/433/56,137442097
Gustave Fougères,19800035/543/62101,123289254
Gustave Le Borgne de La Tour,LH/2788/95,14573066p
Gustave Perret,19800035/36/4598,13176421q
Gustave Rives,LH/2339/40,128986128
Hector Landouzy,LH/1466/37,13488308f
Henri-Joseph Redouté,LH/2282/85,12421814p
Henri Bernès,19800035/279/37368,10719327m
Henri Berriau,LH/205/9,11707897m
Henri Bléhaut,19800035/375/50346,12221039g
Henri Cabot de Dampmartin,LH/652/53,12462095c
Henri Chardon,LH/488/60,12462032g
Henri Désiré Gauquié,19800035/231/30671,14963379b
Henri Fursy,LH/803/70,14828289k
Henri Félix de Lamothe,LH/1461/40,153663435
Henri Greffulhe,LH/1195/33,15342546c
Henri Greffulhe,LH/1195/36,15342546c
Henri Gruson,LH/1213/13,10200114g
Henri Malo,19800035/1412/63204,12623003n
Henri Motulsky,19800035/1231/41943,11917008h
Henri Moysset,19800035/1277/47257,11917146b
Henri Pierre Flaud,LH/981/14,15623290c
Henri Rieunier,LH/2328/27,13211956g
Henri Sensine,19800035/210/27532,12638870d
Henri de Kérillis,19800035/153/19499,12180997z
Henri de La Tour d'Auvergne,LH/2617/35,16769595h
Henri de Rothschild,19800035/1290/49136,121580713
Henriette-Suzanne Brès,LH/358/10,10798600t
Hippolyte Morellet,LH/1935/29,13211584m
Hippolyte Rouland,LH/2397/34,104141903
Hippolyte de Barrau,LH/120/2,12815398m
Honoré Muraire,LH/1967/38,111858236
Jean-Alfred Fournier,LH/1016/56,123839286 | 134176104
Inès de Bourgoing,19800035/27/3466,162337536
Ismaÿl Urbain,LH/2656/28,11927348s
Jacques-François Begouën,LH/164/10,11960925x
Jacques Barnaud,19800035/665/76472,15576989p
Jacques Benoist,19800035/853/406,11015976f
Jacques Carlu,19800035/1379/59327,11695157n
Jacques Nicolas Bellavène,LH/169/84,12268934r
Jacques Solomon,19800035/625/72214,13476997v
Henry-Gabriel Didier,LH/772/60,105460996
Isidore Finance,LH/974/21,130021517
Jacques-Antoine-Adrien Delort,LH/718/57,10721802x
Jacques François Laurent Devisme,LH/767/63,11899998r
Jean-André Barrot,LH/124/56,12534791z
Jean-Auguste Barre,LH/120/84,148500542
Jean-Baptiste-Amédée George de La Massonnais,LH/1115/88,10746196s
Jean-Baptiste-Antoine Lassus,LH/1492/8,11911220g
Jean-Baptiste Baujault,LH/144/66,144847108 | 14969147m
Jean-Baptiste Bouillaud,LH/313/14,10494522c
Jean-Baptiste Randoing,LH/2265/38,13014227b
Jean-Baptiste Verchère de Reffye,LH/2686/52,12267581x
Jean-Barthélémy Le Couteulx de Canteleu,LH/1539/23,12520303k
Jean-François-Joseph Bellel,LH/170/47,13969763c
Jean-Louis Vaudoyer,19800035/397/53186,124017876
Jean-Luc Carbuccia,LH/425/37,132403566
Jean-Marie Duvergier de Hauranne,LH/885/56,13484756f
Jean-Marie de Poyferré de Cère,LH/2218/5,13743575m
Jean-Pascal Rouyer,LH/2416/60,125296058
Jean-Pierre Boullé,LH/318/48,125235731
Jean-Pierre Piat,LH/2774/1,10633584s
Jean Ajalbert,19800035/371/49870,11888247g
Jean Ballard,19800035/1193/37986,11890004x
Jean Baptiste Fidèle Bréa,LH/354/69,16952124b
Jean Baptiste Joseph de Lardemelle,LH/1481/109,10697459h
Jean Bouchaud,19800035/1439/66511,14547494c
Jean Chabanon,LH/463/82,13500058r
Jean Coyrard,19800035/458/61240,107814518
Jean Dours,LH/799/11,10717158v
Jean Duchesne-Fournet,LH/824/14,15134298q
Jean Dybowski,19800035/135/17140,119014993
Jean Ernest Ducos de La Hitte,LH/826/73,16776898v
Jean-Ernest Ducos de La Hitte,LH/826/73,16776898v
Jean Izoulet,19800035/256/34112,12450846p
Jean Nicolas Curély,LH/641/38,106590848
Jean Nicolas Laugier,LH/1496/99,14975774d
Jean Oberlé,19800035/432/57806,12124889s
Jean Parmentier,LH/2056/11,151467336
Joseph Etienne Richard,LH/2322/15,13320496g
Joseph Etienne Richard,LH/2323/1,13320496g
Joseph Mérilhou,LH/1837/17,13485747q
Joseph Rous,19800035/1253/44692,102536060
Joseph Victor Aubernon,LH/63/29,13484509c
Joseph Zangiacomi,LH/2767/14,123630974
Jules Pagézy,LH/2034/50,105085110
Jeanne Julia Bartet,LH/2285/60,13956189g
Laurent Cunin-Gridaine,LH/640/22,10584090f
Louis-Auguste Camus de Richemont,LH/416/87,135130471
Louis-Charles Gillet de La Jaqueminière,LH/1136/4,12541927w
Louis Lépine,LH/1597/24,122971687
Louis Noguès,19800035/236/31265,13211637c
Léon Baréty,19800035/1076/23786,108416786
Léon Martin,19800035/870/2202,178442910
Marc-Antoine-François de Gaujal,LH/1091/43,16028767j
Maurice Dubourg,19800035/67/8317,10392809b
Maurice Foulon,19800035/939/9279,131689410
Maurice Ordinaire,19800035/568/64606,10480234c
Louis-Benjamin Fleuriau de Bellevue,LH/982/53,10003733s
Louis-Jacques Savary,LH/2471/28,125289124
Louis-Joseph Cavrois,LH/456/12,125440572
Louis Jaurès,LH/1358/31,16650441r
Louis Marie Baptiste Atthalin,LH/2776/90,14075589b
Louis Partouneaux,LH/2058/52,10676677b
Marie Roch Louis Reybaud,LH/2309/45,119217024
Ludovic Tron,19800035/955/10914,114650264
Léon Germain Pelouse,LH/2088/74,15049228s
Léon Lefébure,LH/1548/3,11912082q
Léon Pasqual,LH/2060/54,155233073
Léonce de Vogüé,LH/2736/6,10699831q
Léopold Le Hon,LH/1567/23,10730687j
Marcellin Pellet,LH/2085/46,12320617r
Marie Leconte,19800035/434/58033,146535733
Mathieu Depère,LH/735/7,12541812k
Michel Hébert,LH/1275/36,13361679h
Joseph Napoléon Ney,LH/1984/24,125445114
Nicolas François Mollien,LH/1900/66,13749974t
Nicolas Vimar,LH/2723/23,12534820q
Noël Cazals,19800035/456/61065,10389235q
Octave Gréard,LH/1194/62,122869111
Paul-Louis Target,LH/2569/10,104874725
Paul Bellamy,19800035/722/82175,17162038q
Paul Gouzy,LH/1183/19,131709282
Paul Louis Gabriel Bethmont,LH/226/39,16667922r
Paul Rives,19800035/866/1751,10835512r
Paul de Cassagnac,LH/1190/91,12140713q
Pierre-Chaumont Liadières,LH/1636/6,14658313w
Pierre-Clément de Laussat,LH/1503/27,12529080c
Pierre Émile Berdoulat,LH/185/55,15290354t
Pierre Nicolas de Fontenay,LH/995/57,11293395k
Pierre Taittinger,19800035/662/76121,130247884
Prosper Josse,19800035/20/2498,13007293n
Raymond de Ségur d'Aguesseau,LH/2493/76,107267512
René Bérenger,LH/186/9,10302465v
Robert Henri Surcouf,19800035/1413/63339,10694775v
Sébastien Gavini,19800035/231/30676,150117247
Théodore Ducos,LH/826/59,10349911t
Toussaint-Pierre-Louis-Samuel Castaing,LH/444/8,124815143
Victor Paillot de Loynes,LH/2037/8,15023790q
Virgile Schneider,LH/2484/6,14623995w | 15519438w
Édouard Thiers,LH/2592/2,10636230r
Émile Basly,19800035/252/33551,149759817
Jean-Jacques Émile Cheysson,LH/526/95,12014521z
Émile Malon,19800035/778/88171,13441860d
Émile Charles Camille Roubaud,19800035/374/50171,12327077n
Emile Charles Achard,19800035/214/28125,12381270k
Henry Marie Radegonde Martin,19800035/205/26784,123738141
Gaston Dumesnil,LH/844/74,162559409
Jean-François-Charles Dufay,LH/831/18,13004424n
Victor Authier,19800035/200/26128,13209792h
Jean Locquin,19800035/802/90973,12621461f
Joseph de Villardi de Montlaur,LH/2716/50,144968347
Charles Nicolas Lacretelle,LH/1427/57,10701611x
Jacques-Eugène Bury,LH/396/69,10599713b
Nicolas Galmiche,LH/1064/19,104351886
Émile Cotton,19800035/1276/47104,12570199x
Paul Tapponnier,19800035/1034/19271,11088976m
Charles de Flahaut,C/0/36,112662048 | 15003770p
Adrien Oudin,19800035/99/12465,104473544
Jean Lerolle,19800035/361/48516,102785604
Émile Goussot,LH/1181/34,10311176n
Nicolas d'Orglandes,LH/2021/15,107367429
Amédée Chenal,19800035/244/32498,15548073p
Adrien Calmètes,LH/410/79,101827728
François Coreil,19800035/458/61314,103905378
Félix Girod de l'Ain,LH/1151/45,16574338s
Nicolas Delacroix,LH/695/36,12111838z
Charles Bérigny,LH/191/56,15290365g
Alexandre Dumeilet,LH/1817/55,106504470
Jean Antoine de Paul de Châteaudouble,LH/2070/17,10565362v
Paul Henri Daru,LH/664/86,17745950d
Louis-Gustave Adolphe Lemercier de Maisoncelle-Vertille de Richemont,LH/1579/43,107453514
Jacques Rauter,LH/2271/13,106077433
Ernest de Bouteiller,LH/338/87,11893563j
Nicolas Géliot,LH/1106/67,10803422p
Charles Henri Roulleaux Dugage,LH/2398/23,10677356s
Louis Baucarne-Leroux,LH/137/51,17095163c
Théodore Barrois,LH/124/50,105429522
Sébastien Joseph Boulatignier,LH/316/66,14483480c
Alexis Brunel,LH/382/15,10696229s
Alexis Chavanne,LH/512/48,16576770v
Emmanuel Évain,19800035/463/61898,132103797
Étienne Fournol,LH/1019/11,124593156
Étienne Henri Garnier,LH/1076/61,17798062p
Charles Gras,LH/1191/50,132107095
Philippe Émile Jullien,LH/1389/75,13210933k
Louis Lacombe,LH/1425/23,10714894x
Michel Missoffe,19800035/1263/45644,13008620s
Camille Picard,19800035/1214/40230,16933598t
Robert Mitchell,LH/1890/14,16755681x
Rémy Chazallon,LH/513/75,15304335t
Jacques Mahul,LH/1691/1,13003600z
Louis-Édouard Taton-Vassal,LH/2641/22,10514707j
Louis Douët d'Arcq,LH/797/13,12335108t
Louis Guyardin,LH/2786/137,12168989v
Louis Pierre Édouard Bignon,LH/237/75,10685867j
Lucien Arman,LH/49/71,107328371
Marc Colombat de l’Isère,LH/572/58,121854895
Marguerite Deval,LH/379/49,14653800q
Marie-Barthélémy de Castelbajac,LH/445/52,15017486d
Maurice Bokanowski,LH/274/48,11169597g
Maurice Ternaux-Compans,LH/2576/44,107210648
Napoléon Marie de Nompère de Champagny,LH/2001/53,10719466s
Paul Jean Boyer,LH/348/1,12913425c
Paul de Cassagnac,19800035/687/78684,12459798t
Paul Granier de Cassagnac,19800035/687/78684,12459798t
Paul Jourdain,19800035/809/91898,10960924f
Pierre-Antoine Herwyn de Nevèle,LH/1297/63,14955307r
Pierre Appell,19800035/112/14128,10931791n
Pierre Dignac,19800035/1197/38404,158041025
Pierre Jean François Arago,19800035/751/85163,124542073
Pierre Lecler,LH/1529/33,165901271
Pierre Louis du Cambout de Coislin,LH/413/41,10711303p
Pierre Robert,LH/2346/4,158845367
Prosper-Claude-Ignace-Constant Brugière de Barante,LH/378/54,107394755
Raymond Dauthy,19800035/1477/71343,12303175v
Raymond Mondon,19800035/1024/18227,12243230t
Stéphane Mony,LH/1922/66,12605982b
Suzanne Reichenberg,LH/2287/54,14659084t
Théophile-Léon Chevreau,LH/525/77,133394678
Théophile-Léon Chevreau,LH/525/79,133394678
Ulysse Trélat,LH/2626/45,12081437s
Xavier Louis Réguis,LH/2287/24,10663308r
Yves Le Trocquer,LH/1622/60,111172060
Élisabeth Nizan,19800035/987/14243,146569194
Émile-Auguste Doumet,LH/798/55,108007323
"Jules, Émile Espérandieu",19800035/144/18379,119019117
Émile Toussaint Dépasse,LH/734/91,106670782
Auguste Lumière,19800035/91/11355,12287503j
Bérenger de la Drôme,LH/185/67,12277363n
Eugène Simon,LH/2521/6,10513356d
Jules-Élie Delaunay,LH/705/57,14972665f
Charles de Gaulle,C/0/18,11904345m
Étienne-Barthélémy Garnier,LH/1076/60,14959024g
Le Corbusier,19800035/646/74525,119115569
Jean-Baptiste Joseph Fourier,LH/2784/149,11903259s
Luigi Cherubini,LH/519/59,13892445c
Paul Langevin,LH/1469/20,122809107
Auguste Rodin,LH/2779/35,11922352t
Jacques Offenbach,LH/2011/54,13898072m
Henri Gatien Bertrand,LH/217/46,118917419
Samuel Finley Breese Morse,LH/1943/17,12263995r
Antoine Béchamp,LH/159/66,124597964
Eugène François Charles Lamoral de Ligne,LH/1640/71,146179631
Joseph Merklin,LH/1837/46,122254920
Giacomo Meyerbeer,LH/1856/41,13897457k
Pierre Riel de Beurnonville,LH/2327/66,12544195w
René Carmille,19800035/61/7437,12538116h
Joseph Boussinesq,LH/337/32,12284653n
Jean Louis Rodolphe Agassiz,LH/9/83,12278026v
Adrien Prévost de Longpérier,LH/2225/41,12568704s
Zadoc Kahn,LH/1393/55,119093256
Jean-Baptiste Camille Corot,LH/594/20,12001264g
Prosper Montagné,19800035/755/85630,11916586f
Julien Benda,19800035/1486/72814,118911707
Max Jacob,19800035/307/41401,11908382s
Héraclius de Gramont,LH/1185/32,107420987
Jacques de Reinach,LH/2288/38,14843048n
Frédéric Passy,LH/2064/6,119187347
Darius Milhaud,19800035/1246/43838,13897515x
Alphonse Laveran,LH/1506/1,12511339m
Jean Frédéric Frenet,LH/1034/11,144674411
Antoine-Jean Gros,LH/1206/51,14409824s
Constant Troyon,LH/2635/39,149531140
Marguerite Long,19800035/695/79470,123920814
Marguerite Perey,19800035/1297/49920,111237801
Étienne Œhmichen,19800035/80/9976,125733636
Jean-Marie Vianney,LH/2704/57,119087163
Maurice Hennequin,19800035/551/62902,12735800p
Albert Cambriels,LH/413/58,16007799h
Nancy Mitford,19800035/1193/37996,119163110
Tsugouharu Foujita,19800035/939/9305,120276695
藤田嗣治,19800035/939/9305,120276695
Charles Édouard Delort,LH/718/50,12527601d | 14957693g
Eugène Viollet-le-Duc,LH/2728/54,119285028
Édouard Eugéne Joseph Bourciez,LH/322/86,122824032
Édouard Branly,LH/351/94,13478136x
Édouard Caspari,LH/441/33,15299124h
Édouard Louis Trouessart,LH/2634/11,124272850
Émile Blémont,LH/2127/14,12034396q
Émile Gallé,LH/1060/26,11945438p
Émile Guimet,LH/1244/25,11906473m
Émile Levassor,LH/1625/1,165372012
Émile Pessard,LH/2119/30,14817131j
Émile Prudent,LH/2234/13,14802487k
Étienne Bazeries,LH/150/51,106582419 | 12653758g
Jacques Ibert,19800035/368/49441,13895453q
Hippolyte Taine,LH/2564/29,11925938n
Henri Fantin-Latour,LH/930/54,120041778
Paul Vidal de La Blache,LH/2700/17,11928211d
Jean Chacornac,LH/467/33,15303029t
Marcel Achard,19800035/1230/41876,11930175n
Edmond Becquerel (francobelge),LH/161/75,12403361w
Joseph Bertrand,LH/218/40,12386552p
Henri Giraud,19800035/106/13288,11989183g | 341954368
Abel Pavet de Courteille,LH/2073/48,119188544
Alexandre Koyré,19800035/594/67253,11910047q
Philippe Rousseau,LH/2401/65,14929135s
François-Étienne de Damas,LH/650/38,11683892d
Paul Delaroche,LH/703/34,12650989k
Michel-Joseph Gebauer,LH/1104/45,13926874r
Hector-Martin Lefuel,LH/1553/102,124813136
Andreas Räß,LH/2257/25,10449837d | 14977377t
Philippe Le Bas,LH/1511/44,123789522
Adolphe Clément-Bayard,LH/549/39,16124168f
André Siegfried,19800035/299/40201,12340147q
Gaston de Saporta,LH/2457/48,121581554 | 15343463x
Joseph Héliodore Garcin de Tassy,LH/1071/2,119041003
Théodore-Charles Gruyère,LH/1213/27,14975224g
Emmanuel de Grouchy,LH/1210/49,10723933z
Achille Richard,LH/2319/25,12109282h
Auguste Édouard Hirschauer,LH/1302/51,10723989k
Charles Degeorge,LH/689/5,149726136
René Dussaud,19800035/146/18571,124714885
Charles Joret,LH/1374/48,12309001g
André Beaufre,19800035/1294/49614,118907939
Ernest Meissonier,LH/1818/30,11943744z
Pierre-Narcisse Guérin,LH/1221/60,125588354
Albert Caquot,19800035/1375/58924,12284659q
Maurice Blondel,19800035/271/36270,121378709
Pierre-Paul Dehérain,LH/691/41,125534396
Adolphe Léon Willette,LH/2758/1,119292229
Charles Adolphe Wurtz,LH/2763/1,12359780k
Henri Breuil,19800035/799/90494,12299444j
Paul Pelliot,19800035/800/90662,11919009b
Antoine d'Abbadie d'Arrast,LH/1/60,13509769h
Lucien Servanty,19800035/1176/36127,17117584f
Claude Bufnoir,LH/389/69,150279353
Louis Auguste Desmarres,LH/751/57,106503393
Edmond Nocard,LH/1995/9,12572660r
Joseph Bédier,LH/162/50,118909183
Frédéric Kuhlmann,LH/1410/2,123660537
Auguste Perret,19800035/97/12110,12206723t
Amand-Joseph Fava,LH/945/4,12758592g
Jean-Pierre Dantan,LH/657/5,14793766c
Adolphe Alphand,LH/25/63,12204297h | 15299146t
Jacques Raymond Brascassat,LH/352/24,14958738v
Aimé Morot,LH/1942/70,149605822
Théodule Charles Devéria,LH/765/65,129494828
"Albert, 4e duc de Broglie",LH/371/23,12134459z
Jacques-Victor-Albert de Broglie,LH/371/23,12134459z
Henri Desgrange,19800035/460/61581,129985005
Louis-René Levassor de Latouche Tréville,LH/1625/5,13747924s
Louis-René-Madeleine de Latouche-Tréville,LH/1625/5,13747924s
Louis Varney,LH/2675/103,13900760x
